                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4897,                 11.414,                 2.1803,                0.33219,                0.34892,                0.24655,                0.09546,                 4.3953,                 5.7405,                 2.0068,              0.0033329,              0.0033329,              0.0033329
                      2,                 4.5488,                 4.5186,                 2.2324,                0.39312,                0.39827,                0.31852,                  0.129,                 4.1757,                 4.3636,                 2.0883,              0.0065342,              0.0065342,              0.0065342
                      3,                 4.6506,                  4.174,                 2.3029,                0.39251,                0.39295,                0.32076,                0.11699,                 4.2739,                 4.2733,                 2.0782,              0.0096036,              0.0096036,              0.0096036
                      4,                 4.4856,                 3.8657,                 2.2825,                0.43852,                0.45282,                0.40002,                0.16522,                 3.9178,                 3.9855,                 2.0206,               0.009406,               0.009406,               0.009406
                      5,                 4.1826,                 3.5192,                 2.1926,                0.48621,                0.47292,                0.43768,                0.19968,                 3.6349,                 3.7977,                 1.9851,               0.009208,               0.009208,               0.009208
                      6,                 3.9847,                 3.3208,                 2.1507,                0.51257,                0.46702,                0.45542,                0.21088,                 3.5948,                 3.6768,                 1.9481,                0.00901,                0.00901,                0.00901
                      7,                 3.8858,                 3.1821,                 2.1119,                 0.5261,                0.52029,                 0.4946,                0.23226,                 3.4427,                 3.5844,                 1.9083,               0.008812,               0.008812,               0.008812
                      8,                 3.7928,                 3.0648,                 2.0897,                0.53616,                0.49498,                0.49532,                 0.2419,                 3.4285,                 3.4331,                 1.8986,               0.008614,               0.008614,               0.008614
                      9,                 3.7475,                 3.0055,                 2.0713,                0.55669,                0.53836,                0.51474,                0.24861,                 3.4022,                 3.4247,                 1.9186,               0.008416,               0.008416,               0.008416
                     10,                  3.709,                 2.9356,                 2.0618,                0.54227,                0.54566,                0.51661,                0.25545,                  3.295,                  3.405,                 1.8831,               0.008218,               0.008218,               0.008218
                     11,                 3.6666,                 2.8935,                 2.0556,                0.55252,                0.56266,                0.54208,                0.27456,                 3.3018,                 3.3818,                 1.8734,                0.00802,                0.00802,                0.00802
                     12,                 3.5972,                 2.8302,                 2.0323,                 0.5771,                0.55835,                0.54515,                0.27924,                 3.1965,                 3.3754,                 1.8547,               0.007822,               0.007822,               0.007822
                     13,                 3.5857,                 2.8011,                 2.0282,                0.57669,                0.55467,                0.54828,                0.28839,                 3.1961,                 3.3102,                 1.8574,               0.007624,               0.007624,               0.007624
                     14,                 3.5208,                 2.7577,                 2.0186,                0.57115,                0.55644,                0.53915,                0.28672,                 3.0879,                 3.3312,                 1.8453,               0.007426,               0.007426,               0.007426
                     15,                 3.5166,                 2.7049,                 2.0143,                0.58211,                 0.5586,                0.55098,                0.29259,                 3.1171,                  3.281,                 1.8422,               0.007228,               0.007228,               0.007228
                     16,                 3.4737,                  2.686,                 1.9917,                0.59268,                0.56418,                0.56249,                0.30043,                 3.1245,                 3.3001,                 1.8398,                0.00703,                0.00703,                0.00703
                     17,                 3.4703,                 2.6394,                 1.9929,                 0.5928,                 0.5728,                0.56569,                0.30608,                 3.0937,                 3.3269,                  1.839,               0.006832,               0.006832,               0.006832
                     18,                 3.4309,                  2.615,                 1.9743,                0.60257,                0.56692,                0.56781,                0.30888,                  3.071,                 3.3146,                  1.831,               0.006634,               0.006634,               0.006634
                     19,                 3.4204,                 2.5849,                  1.979,                0.60299,                0.57523,                0.57235,                0.31198,                 3.0611,                 3.2823,                 1.8254,               0.006436,               0.006436,               0.006436
                     20,                 3.3883,                 2.5603,                 1.9636,                0.60322,                0.58016,                0.57648,                0.31707,                 3.0253,                 3.2591,                 1.8172,               0.006238,               0.006238,               0.006238
                     21,                 3.3975,                  2.537,                 1.9661,                0.61335,                0.58853,                0.58692,                0.32068,                 3.0255,                 3.2763,                 1.8175,                0.00604,                0.00604,                0.00604
                     22,                 3.3481,                 2.5082,                  1.956,                0.61386,                0.59158,                0.59346,                0.32519,                 3.0074,                 3.2843,                 1.8146,               0.005842,               0.005842,               0.005842
                     23,                 3.3349,                 2.5064,                 1.9503,                 0.6108,                0.58549,                0.59414,                0.32819,                 3.0076,                 3.2734,                 1.8133,               0.005644,               0.005644,               0.005644
                     24,                 3.3485,                 2.4755,                 1.9474,                0.60959,                0.59809,                0.59652,                0.33047,                 3.0121,                 3.2713,                 1.8119,               0.005446,               0.005446,               0.005446
                     25,                 3.3242,                  2.449,                 1.9392,                0.60086,                0.60249,                 0.5916,                0.33045,                 3.0256,                 3.3033,                  1.811,               0.005248,               0.005248,               0.005248
                     26,                 3.3177,                 2.4162,                 1.9362,                0.62581,                0.59437,                0.59861,                0.33448,                 3.0309,                 3.2687,                 1.8114,                0.00505,                0.00505,                0.00505
                     27,                 3.2819,                 2.4273,                 1.9342,                   0.62,                 0.6043,                0.59921,                0.33553,                 3.0243,                 3.2641,                 1.8125,               0.004852,               0.004852,               0.004852
                     28,                 3.2523,                 2.3874,                 1.9247,                0.61521,                0.60173,                0.59941,                0.33543,                 3.0146,                 3.2669,                  1.811,               0.004654,               0.004654,               0.004654
                     29,                 3.2426,                 2.3851,                 1.9192,                0.62371,                0.59919,                0.60072,                0.33683,                 3.0067,                   3.25,                 1.8088,               0.004456,               0.004456,               0.004456
                     30,                  3.219,                 2.3268,                 1.9134,                 0.6222,                0.60537,                0.60348,                0.33901,                 2.9962,                 3.2372,                 1.8072,               0.004258,               0.004258,               0.004258
                     31,                 3.2056,                 2.3179,                 1.9114,                0.62478,                0.60375,                 0.6058,                0.34079,                 2.9871,                 3.2344,                 1.8049,                0.00406,                0.00406,                0.00406
                     32,                 3.1766,                 2.2972,                  1.901,                0.62074,                0.61492,                0.60737,                0.34167,                 2.9777,                 3.2357,                 1.8024,               0.003862,               0.003862,               0.003862
                     33,                 3.1638,                 2.2792,                 1.9001,                0.61736,                0.61802,                0.60739,                0.34247,                 2.9731,                 3.2311,                 1.8011,               0.003664,               0.003664,               0.003664
                     34,                 3.1433,                 2.2406,                 1.8946,                0.62085,                0.61894,                0.60837,                0.34341,                 2.9695,                  3.229,                 1.7998,               0.003466,               0.003466,               0.003466
                     35,                 3.1224,                 2.2382,                 1.8854,                0.62576,                0.61929,                0.60965,                0.34451,                 2.9655,                 3.2309,                 1.7986,               0.003268,               0.003268,               0.003268
                     36,                 3.1164,                 2.2077,                 1.8888,                  0.626,                0.61872,                0.61077,                0.34539,                 2.9618,                 3.2275,                 1.7975,                0.00307,                0.00307,                0.00307
                     37,                 3.0904,                 2.1823,                 1.8809,                0.62494,                0.61821,                0.61215,                0.34635,                 2.9601,                 3.2292,                 1.7974,               0.002872,               0.002872,               0.002872
                     38,                  3.072,                 2.1532,                 1.8819,                0.62618,                0.61923,                0.61365,                0.34737,                 2.9579,                 3.2238,                  1.797,               0.002674,               0.002674,               0.002674
                     39,                 3.0565,                 2.1419,                 1.8762,                0.62799,                0.62223,                0.61534,                0.34835,                 2.9542,                 3.2178,                 1.7966,               0.002476,               0.002476,               0.002476
                     40,                 3.0285,                 2.1185,                 1.8677,                0.62968,                0.62202,                0.61633,                0.34894,                 2.9508,                 3.2134,                 1.7959,               0.002278,               0.002278,               0.002278
                     41,                 3.0256,                 2.1239,                 1.8678,                 0.6309,                0.61919,                0.61683,                0.34929,                 2.9463,                 3.2142,                 1.7951,                0.00208,                0.00208,                0.00208
                     42,                  3.017,                 2.0924,                 1.8711,                0.62907,                0.62177,                0.61737,                0.34967,                 2.9437,                 3.2124,                 1.7951,               0.001882,               0.001882,               0.001882
                     43,                 2.9821,                 2.0463,                 1.8601,                0.62676,                0.62329,                0.61778,                0.34998,                 2.9415,                  3.213,                 1.7948,               0.001684,               0.001684,               0.001684
