                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6164,                  8.263,                 2.5344,                0.18171,                0.17706,                0.10293,                 0.0452,                 3.1037,                 10.122,                 2.0772,              0.0033327,              0.0033327,              0.0033327
                      2,                 3.7706,                 4.4594,                 2.6078,                0.19702,                0.18554,                0.12966,                0.05779,                 3.0921,                 7.3994,                 2.0985,              0.0066001,              0.0066001,              0.0066001
                      3,                 3.9162,                 4.3241,                 2.7147,                0.17746,                0.17787,                0.11657,                0.05329,                 3.0161,                 7.5224,                 2.1279,              0.0098014,              0.0098014,              0.0098014
                      4,                 3.8207,                 4.0972,                 2.7131,                0.22562,                0.20191,                0.14951,                0.07056,                 2.9259,                 6.9789,                    2.1,               0.009703,               0.009703,               0.009703
                      5,                 3.6443,                  3.756,                 2.6126,                0.23673,                0.21054,                0.17015,                0.08534,                 2.7866,                 6.2268,                 2.0427,               0.009604,               0.009604,               0.009604
                      6,                 3.5505,                 3.5406,                 2.5724,                0.23522,                0.21607,                0.16803,                0.08795,                   2.68,                  6.676,                 2.0038,               0.009505,               0.009505,               0.009505
                      7,                 3.4685,                 3.4106,                 2.5267,                0.24745,                0.21544,                0.17426,                0.09227,                 2.6608,                 6.0452,                 1.9808,               0.009406,               0.009406,               0.009406
                      8,                 3.4259,                  3.299,                 2.5131,                0.24498,                0.21544,                0.17007,                0.09121,                 2.6077,                 6.4445,                 1.9636,               0.009307,               0.009307,               0.009307
                      9,                 3.3797,                 3.1928,                 2.4829,                0.25221,                0.22369,                0.17185,                0.09256,                 2.5931,                 6.3536,                   1.96,               0.009208,               0.009208,               0.009208
                     10,                 3.3432,                 3.1321,                 2.4593,                0.24318,                0.22553,                0.16905,                0.09251,                 2.5563,                 5.8868,                 1.9364,               0.009109,               0.009109,               0.009109
                     11,                 3.3029,                 3.0622,                 2.4363,                0.25228,                0.22858,                  0.173,                  0.095,                 2.5315,                 5.9299,                 1.9284,                0.00901,                0.00901,                0.00901
                     12,                 3.2942,                 3.0567,                 2.4344,                0.26365,                0.21985,                0.18026,                0.10057,                 2.5063,                 5.7944,                 1.9204,               0.008911,               0.008911,               0.008911
                     13,                 3.2724,                 2.9931,                 2.4249,                0.25699,                 0.2165,                 0.1771,                0.09971,                 2.4793,                 5.7521,                 1.9057,               0.008812,               0.008812,               0.008812
                     14,                 3.2434,                 2.9476,                 2.4101,                0.25065,                0.22526,                0.17853,                0.10146,                 2.4649,                 5.8383,                 1.9046,               0.008713,               0.008713,               0.008713
                     15,                 3.2442,                 2.9342,                 2.4129,                0.24977,                0.22645,                0.17773,                0.10204,                 2.4568,                 5.7754,                 1.8985,               0.008614,               0.008614,               0.008614
                     16,                 3.2205,                 2.8693,                 2.3967,                0.25705,                0.22069,                0.17888,                0.10299,                 2.4543,                 5.7962,                 1.8959,               0.008515,               0.008515,               0.008515
